,Lyrics
I don't know why Mrs. O'Connell had to shame me before the whole world, and I don't think I'm too good for the post office or anything else. How could I with my hair sticking up, pimples dotting my face, my eyes red and oozing yellow, my teeth crumbling with the rot, no shoulders, no flesh on my arse after cycling thirteen thousand miles to deliver twenty thousand telegrams to every door in Limerick and regions beyond?
Mrs. O'Connell said a long time ago she knew everything about every telegram boy. She must know about the times I went at myself on top of Carrigogunnell, milkmaids gawking, little boys looking up.
She must know about Theresa Carmody and the green sofa, how I got her into a state of sin and sent her to hell, the worst sin of all, worse than Carrigogunnell a thousand times. She must know I never went to confession after Theresa, that I'm doomed to hell myself.
A person that commits a sin like that is never too good for the post office or anything else.
The barman at South's remembers me from the time I sat with Mr. Hannon, Bill Galvin, Uncle Pa Keating, black white black. He remembers my father, how he spent his wages and his dole while singing patriotic songs and making speeches from the dock like a condemned rebel.
And what is it you'd like? says the barman.
I'm here to meet Uncle Pa Keating and have my first pint.
Oh, begod, is that a fact? He'll be here in a minute and sure
there's no reason why I shouldn't draw his pint and maybe draw your first pint, is there now?
There isn't, sir.
Uncle Pa comes in and tells me sit next to him against the wall. The barman brings the pints, Uncle Pa pays, lifts his glass, tells the men in the pub, This is my nephew, Frankie McCourt, son of Angela Sheehan, the sister of my wife, having his first pint, here's to your health and long life, Frankie, may you live to enjoy the pint but not too much.
The men lift their pints, nod, drink, and there are creamy lines on their lips and mustaches. I take a great gulp of my pint and Uncle Pa tells me, Slow down for the love o' Jasus, don't drink it all, there's more where that came from as long as the Guinness family stays strong and healthy.
I tell him I want to stand him a pint with my last wages from the post office but he says, No, take the money home to your mother and you can stand me a pint when you come home from America flushed with success and the heat from a blonde hanging on your arm.
The men in the pub are talking about the terrible state of the world and how in God's name Hermann Goering escaped the hangman an hour before the hanging. The Yanks are over there in Nuremberg declaring they don't know how the Nazi bastard hid that pill. Was it in his ear? Up his nostril? Up his arse? Surely the Yanks looked in every hole and cranny of every Nazi they captured and still Hermann wiped their eye. There you are. It shows you can sail across the Atlantic, land in Normandy, bomb Germany off the face of the earth, but when all's said and done they can't find a little pill planted in the far reaches of Goering's fat arse.
Uncle Pa buys me another pint. It's harder to drink because it fills me and makes my belly bulge. The men are talking about
concentration camps and the poor Jews that never harmed a soul, men, women, children crammed into ovens, children, mind you, what harm could they do, little shoes scattered everywhere, crammed in, and the pub is misty and the voices fading in and out. Uncle Pa says, Are you all right? You're as white as a sheet. He takes me to the lavatory and the two of us have a good long piss against the wall which keeps moving back and forth. I can't go into the pub again, cigarette smoke, stale Guinness, Goering's fat arse, small shoes scattered, can't go in again, good night, Uncle Pa, thanks, and he tells me go straight home to my mother, straight home, oh, he doesn't know about the excitement in the loft or the excitement on the green sofa or me in such a state of doom that if I died now I'd be in hell in a wink.
Uncle Pa goes back to his pint. I'm out on O'Connell Street and why shouldn't I take the few steps to the Jesuits and tell all my sins this last night I'll be fifteen. I ring the bell at the priests'house and a big man answers, Yes? I tell him, I want to go to confession, Father. He says, I'm not a priest. Don't call me father. I'm a brother.
All right, Brother. I want to go to confession before I'm sixteen tomorrow. State o' grace on my birthday.
He says, Go away. You're drunk. Child like you drunk as a lord ringing for a priest at this hour. Go away or I'll call the guards.
Ah, don't. Ah, don't. I only want to go to confession. I'm doomed. You're drunk and you're not in a proper spirit of repentance.
He closes the door in my face. Another door closed in the face, but
I'm sixteen tomorrow and I ring again. The brother opens the door, swings me around, kicks my arse and sends me tripping down the steps.
He says, Ring this bell again and I'll break your hand.
Jesuit brothers are not supposed to talk like that. They're supposed to be like Our Lord, not walking the world threatening people's hands.
I'm dizzy. I'll go home to bed. I hold on to railings along Barrington Street and keep to the wall going down the lane. Mam is by the fire smoking a Woodbine, my brothers upstairs in the bed. She says, That's a nice state to come home in.
It's hard to talk but I tell her I had my first pint with Uncle Pa. No father to get me the first pint.
Your Uncle Pa should know better.
I stagger to a chair and she says, Just like your father. I try to control the way my tongue moves in my mouth. I'd rather be, I'd rather, rather be like my father than Laman Griffin.
